action_name,timestamp
Register Client,2021-05-12T23:09:43.417603400
Register Client,2021-05-12T23:09:43.425603600
Register Client,2021-05-12T23:09:43.426604700
Register Client,2021-05-12T23:09:43.426604700
Register Client,2021-05-12T23:09:43.427602400
Register Client,2021-05-12T23:09:43.427602400
Register Client,2021-05-12T23:09:43.428601200
Register Client,2021-05-12T23:09:43.428601200
Register Client,2021-05-12T23:09:43.428601200
Register Client,2021-05-12T23:09:43.429602500
Register Client,2021-05-12T23:09:43.429602500
Register Client,2021-05-12T23:09:43.430602
Register Client,2021-05-12T23:09:43.430602
Register Client,2021-05-12T23:09:43.430602
Register Client,2021-05-12T23:09:43.431601300
Register Client,2021-05-12T23:09:43.431601300
Add Account,2021-05-12T23:09:43.432602200
Add Card,2021-05-12T23:09:43.441601800
Add Card,2021-05-12T23:09:43.442601900
Add Card,2021-05-12T23:09:43.443601800
Add Card,2021-05-12T23:09:43.443601800
Add Card,2021-05-12T23:09:43.444602300
Add Card,2021-05-12T23:09:43.446603200
Add Card,2021-05-12T23:09:43.446603200
Add Card,2021-05-12T23:09:43.447601800
Add Card,2021-05-12T23:09:43.447601800
Add Card,2021-05-12T23:09:43.448602
Add Card,2021-05-12T23:09:43.448602
Add Card,2021-05-12T23:09:43.449602600
Add Card,2021-05-12T23:09:43.449602600
Add Card,2021-05-12T23:09:43.450601500
Add Card,2021-05-12T23:09:43.450601500
Add Card,2021-05-12T23:09:43.451602
Add Card,2021-05-12T23:09:43.451602
Show Cards,2021-05-12T23:09:43.452601900
Show Clients,2021-05-12T23:09:43.456601800
Find Client,2021-05-12T23:09:43.458601
Find Client,2021-05-12T23:09:43.458601
Add Card,2021-05-12T23:09:43.459603100
Deposit,2021-05-12T23:09:43.470603100
Withdrawal,2021-05-12T23:09:43.474604100
Payment,2021-05-12T23:09:43.476602300
Payment,2021-05-12T23:09:43.476602300
Payment,2021-05-12T23:09:43.477602400
Payment,2021-05-12T23:09:43.478602700
Payment,2021-05-12T23:09:43.479604200
Payment,2021-05-12T23:09:43.479604200
Payment,2021-05-12T23:09:43.480604900
Payment,2021-05-12T23:09:43.480604900
Payment,2021-05-12T23:09:43.481602600
Payment,2021-05-12T23:09:43.482601
Payment,2021-05-12T23:09:43.482601
Cashing,2021-05-12T23:09:43.483601900
Cashing,2021-05-12T23:09:43.483601900
Cashing,2021-05-12T23:09:43.484602300
Cashing,2021-05-12T23:09:43.485601500
Cashing,2021-05-12T23:09:43.485601500
Cashing,2021-05-12T23:09:43.485601500
Transaction History,2021-05-12T23:09:43.497602300
Return item,2021-05-12T23:09:43.497602300
Transaction History,2021-05-12T23:09:43.499603800
